Carrots (canned),1/2 cup,,18.00,0.07,0.10,0.00,0.00,0.00,177.00,4.00,1.10,1.80,0.50,163.00,3.50,2.00,2.50,0.70,1.76,6.24,3.66,0.07
Chili peppers (canned),1/2 cup,,15.00,0.07,0.20,0.00,0.00,0.00,276.00,3.20,1.20,2.00,0.50,2.00,40.00,3.00,5.00,0.92,2.74,8.52,4.37,0.08
Cucumbers (canned),1/2 cup,,40.00,0.08,0.30,0.10,0.00,0.00,350.00,16.20,0.80,14.00,0.40,2.50,1.00,3.00,1.50,1.02,7.14,15.20,7.75,0.09
Green peas (canned),1/2 cup,,59.00,0.09,0.30,0.10,0.00,0.00,2.00,10.70,3.50,3.50,3.80,9.00,14.00,2.00,5.00,1.53,10.56,38.34,19.12,0.07
Mushrooms (canned),1/2 cup,,20.00,0.08,0.20,0.00,0.00,0.00,332.00,4.00,1.90,1.80,1.50,0.00,0.00,1.00,3.00,1.05,18.24,18.24,18.24,0.20
Potatoes (canned),1/2 cup,,54.00,0.09,0.20,0.00,0.00,0.00,197.00,12.30,2.10,10.20,1.30,0.00,8.00,1.00,7.00,1.18,10.96,21.62,29.10,0.06
Green beans (canned),1/2 cup,,15.00,0.07,0.30,0.10,0.00,0.00,155.00,2.90,1.30,0.50,0.80,5.00,5.00,2.00,4.00,0.89,6.49,21.44,12.63,0.08
Sweet corn (canned),1/2 cup,,55.00,0.08,1.00,0.20,0.00,0.00,168.00,11.80,1.60,3.60,1.90,1.00,1.00,1.00,4.00,1.08,15.96,26.73,7.86,0.08
Tomatoes (canned),1/2 cup,,33.00,0.13,0.20,0.00,0.00,0.00,282.00,7.90,1.30,4.50,1.20,15.00,15.00,4.00,4.00,1.44,24.36,23.10,14.29,0.15
Mixed vegetables (canned),1/2 cup,,40.00,0.09,0.20,0.00,0.00,0.00,174.00,7.60,2.40,2.00,2.10,190.00,7.00,2.00,5.00,1.64,3.57,11.07,5.68,0.10
Broccoli (frozen),1/2 cup,,26.00,0.09,0.10,0.00,0.00,0.00,10.00,4.90,2.80,1.40,2.90,18.50,61.50,3.00,3.00,3.04,4.38,13.59,6.97,0.13
Spinach (frozen),1/2 cup,,32.00,0.10,0.80,0.10,0.00,0.00,92.00,4.60,3.50,0.50,3.80,229.00,3.00,15.00,10.00,2.47,6.85,24.13,33.62,0.12
Carrots (frozen),1/2 cup,,27.00,0.07,0.50,0.10,0.00,0.00,43.00,5.60,2.40,3.00,0.40,247.00,3.00,3.00,2.00,1.90,1.76,6.24,3.66,0.11
Asparagus (frozen),1/2 cup,,16.00,0.09,0.40,0.10,0.00,0.00,3.00,1.70,1.40,0.30,2.70,15.00,37.00,2.00,3.00,2.34,65.51,111.45,41.83,0.42
Cauliflower (frozen),1/2 cup,,17.00,0.09,0.20,0.00,0.00,0.00,16.00,3.40,2.40,0.90,1.50,0.00,79.00,0.00,11.00,2.98,4.62,15.77,7.10,0.12
Green peas (frozen),1/2 cup,,62.00,0.07,0.20,0.00,0.00,0.00,58.00,11.40,3.60,3.50,4.10,34.00,13.00,2.00,7.00,0.80,9.07,32.93,16.42,0.10
Lima beans (frozen),1/2 cup,,88.00,0.09,0.30,0.10,0.00,0.00,59.00,16.40,4.50,1.10,5.20,3.00,18.00,3.00,9.00,0.94,10.56,38.34,19.12,0.12
Potatoes (frozen),1/2 cup,,170.00,0.09,0.00,0.00,0.00,0.00,25.00,37.00,4.00,2.00,5.00,0.00,35.00,4.00,10.00,2.21,10.35,20.42,27.48,0.13
Green beans (frozen),2/3 cup,,25.00,0.09,0.20,0.00,0.00,0.00,1.00,5.80,2.70,1.70,1.40,10.00,6.00,4.00,3.00,2.49,8.65,28.58,16.84,0.16
